Cve_Metro,Cve_mun,Nom_metro
01.1.01,01001,Aguascalientes
01.1.01,01005,Aguascalientes
01.1.01,01011,Aguascalientes
02.2.02,02001,Ensenada
02.2.03,02002,Mexicali
02.1.01,02004,Tijuana
02.1.01,02005,Tijuana
03.2.01,03003,La Paz
03.2.02,03008,Los Cabos
04.2.01,04002,Campeche
05.1.04,05004,Saltillo
05.1.02,05006,Monclova-Frontera
05.1.02,05010,Monclova-Frontera
05.1.01,05017,La Laguna
05.1.02,05018,Monclova-Frontera
05.1.03,05022,Piedras Negras
05.1.03,05025,Piedras Negras
05.1.04,05027,Saltillo
05.3.05,05028,Sabinas
05.1.04,05030,Saltillo
05.1.02,05031,Monclova-Frontera
05.3.05,05032,Sabinas
05.1.01,05035,La Laguna
06.3.02,06001,Tecomán
06.1.01,06002,Colima-Villa de Álvarez
06.1.01,06003,Colima-Villa de Álvarez
06.3.02,06009,Tecomán
06.1.01,06010,Colima-Villa de Álvarez
07.1.02,07012,Tuxtla Gutiérrez
07.1.02,07027,Tuxtla Gutiérrez
07.1.01,07055,Tapachula
07.1.02,07079,Tuxtla Gutiérrez
07.1.02,07086,Tuxtla Gutiérrez
07.1.01,07089,Tapachula
07.1.02,07101,Tuxtla Gutiérrez
07.1.01,07102,Tapachula
08.1.01,08002,Chihuahua
08.1.01,08004,Chihuahua
08.1.01,08019,Chihuahua
08.1.02,08021,Delicias
08.3.04,08032,Hidalgo del Parral
08.2.03,08037,Juárez
08.1.02,08045,Delicias
08.1.02,08055,Delicias
08.3.04,08059,Hidalgo del Parral
09.1.01,09002,Ciudad de México
09.1.01,09003,Ciudad de México
09.1.01,09004,Ciudad de México
09.1.01,09005,Ciudad de México
09.1.01,09006,Ciudad de México
09.1.01,09007,Ciudad de México
09.1.01,09008,Ciudad de México
09.1.01,09009,Ciudad de México
09.1.01,09010,Ciudad de México
09.1.01,09011,Ciudad de México
09.1.01,09012,Ciudad de México
09.1.01,09013,Ciudad de México
09.1.01,09014,Ciudad de México
09.1.01,09015,Ciudad de México
09.1.01,09016,Ciudad de México
09.1.01,09017,Ciudad de México
10.2.01,10005,Durango
05.1.01,10007,La Laguna
05.1.01,10012,La Laguna
11.1.01,11007,Celaya
11.1.01,11011,Celaya
11.2.03,11015,Guanajuato
11.2.04,11017,Irapuato
11.1.02,11020,León
11.3.05,11021,Moroleón-Uriangato
16.1.01,11023,La Piedad-Pénjamo
11.1.02,11025,León
11.3.06,11026,Silao
11.1.02,11031,León
11.3.06,11037,Silao
11.3.05,11041,Moroleón-Uriangato
11.1.01,11044,Celaya
12.2.02,12001,Acapulco
12.1.01,12029,Chilpancingo
16.3.05,12068,Lázaro Cárdenas
12.1.01,12075,Chilpancingo
13.3.03,13010,Atitalaquia
09.1.01,13013,Ciudad de México
13.1.02,13016,Tulancingo
13.1.01,13039,Pachuca
13.1.01,13048,Pachuca
13.1.01,13051,Pachuca
13.1.02,13056,Tulancingo
09.1.01,13069,Ciudad de México
13.3.03,13074,Atitalaquia
13.1.02,13077,Tulancingo
13.1.01,13082,Pachuca
13.1.01,13083,Pachuca
14.1.01,14039,Guadalajara
14.3.03,14047,Ocotlán
14.1.01,14051,Guadalajara
