posicion,clave_metropoli,tipo,nombre,superficie_total_ha,superficie_ocupada_ha,prct_superficie_ocupada_de_total,superficie_urbana_ha,prct_superficie_urbana_de_total,superficie_rural_ha,prct_superficie_rural_de_total,poblacion,poblacion_urbana,prct_poblacion_urbana,poblacion_rural,prct_poblacion_rural,tasa_crecimiento_anual_2010_2020_prct,densidad_poblacion_hab_ha,densidad_poblacion_urbana_hab_ha,densidad_poblacion_rural_hab_ha,producto_interno_bruto,poblacion_ocupada
1,09.1.01,Zona metropolitana,Ciudad de México,607034.6,244937.4,40.3,226501.3,92.5,18436.1,7.5,21436911,20850755,97.3,586156,2.7,0.78,87.5,92.1,31.8,5678387.83489672,6052076
2,19.1.01,Zona metropolitana,Monterrey,743999.4,111938.8,15.0,93759.4,83.8,18179.4,16.2,5322117,5245560,98.6,76557,1.4,2.47,47.5,55.9,4.2,1573842.8510569555,1728630
3,14.1.01,Zona metropolitana,Guadalajara,248659.8,73080.4,29.4,66844.5,91.5,6235.9,8.5,5110617,4999609,97.8,111008,2.2,1.56,69.9,74.8,17.8,892110.1766073663,1438407
4,15.1.01,Zona metropolitana,Toluca,241477.1,66577.8,27.6,44400.3,66.7,22177.5,33.3,2353924,1872266,79.5,481658,20.5,1.62,35.4,42.2,21.7,382611.99068971165,496598
5,21.1.01,Zona metropolitana,Puebla-Tlaxcala,162815.9,64430.3,39.6,59347.2,92.1,5083.1,7.9,2776893,2654156,95.6,122737,4.4,1.52,43.1,44.7,24.1,343177.2796160349,658900
6,31.1.01,Zona metropolitana,Mérida,322523.9,42619.1,13.2,36112.8,84.7,6506.3,15.3,1324771,1246526,94.1,78245,5.9,2.29,31.1,34.5,12.0,160319.38729280594,254730
7,29.1.01,Zona metropolitana,Tlaxcala-Apizaco,159798.4,40911.8,25.6,34655.6,84.7,6256.2,15.3,674510,586978,87.0,87532,13.0,1.72,16.5,16.9,14.0,48862.82389721293,123461
8,02.1.01,Zona metropolitana,Tijuana,158207.3,37481.6,23.7,33542.5,89.5,3939.1,10.5,2049413,2000259,97.6,49154,2.4,2.34,54.7,59.6,12.5,295943.00318546395,610432
9,11.1.02,Zona metropolitana,León,193762.7,34599.4,17.9,26426.9,76.4,8172.5,23.6,1935928,1774963,91.7,160965,8.3,2.08,56.0,67.2,19.7,242415.59305172393,376584
10,05.1.01,Zona metropolitana,La Laguna,507890.3,33913.7,6.7,27878.6,82.2,6035.1,17.8,1375248,1218759,88.6,156489,11.4,1.37,40.6,43.7,25.9,115509.44728227121,357669
11,22.1.01,Zona metropolitana,Querétaro,205340.2,33713.1,16.4,24396.4,72.4,9316.6,27.6,1530820,1381392,90.2,149428,9.8,4.24,45.4,56.6,16.0,356066.9420902721,540014
12,08.1.01,Zona metropolitana,Chihuahua,1809365.8,33661.3,1.9,29965.7,89.0,3695.6,11.0,988065,968372,98.0,19693,2.0,1.53,29.4,32.3,5.3,175162.1639086681,189247
13,05.1.04,Zona metropolitana,Saltillo,1400928.8,31117.8,2.2,25222.2,81.1,5895.7,18.9,1031779,996551,96.6,35228,3.4,2.48,33.2,39.5,6.0,123626.67688677774,229314
14,17.1.02,Zona metropolitana,Cuernavaca,124420.7,30790.3,24.7,24258.6,78.8,6531.7,21.2,1121122,983015,87.7,138107,12.3,1.09,36.4,40.5,21.1,125019.70212125874,185449
15,28.1.02,Zona metropolitana,Tampico,528166.8,26674.9,5.1,19967.6,74.9,6707.3,25.1,927379,862030,93.0,65349,7.0,0.95,34.8,43.2,9.7,181856.94541547153,334643
16,24.1.01,Zona metropolitana,San Luis Potosí,178771.1,25176.6,14.1,21078.7,83.7,4097.9,16.3,1243980,1194744,96.0,49236,4.0,1.89,49.4,56.7,12.0,246269.24878603366,366699
17,28.1.01,Zona metropolitana,Reynosa,473063.5,22973.9,4.9,19894.9,86.6,3079.0,13.4,837251,813143,97.1,24108,2.9,1.62,36.4,40.9,7.8,163202.2067031491,314087
18,20.1.01,Zona metropolitana,Oaxaca,69202.3,22155.4,32.0,18044.2,81.4,4111.2,18.6,744912,660807,88.7,84105,11.3,1.23,33.6,36.6,20.5,54259.928588156894,166188
19,01.1.01,Zona metropolitana,Aguascalientes,182230.0,20648.5,11.3,15588.3,75.5,5060.2,24.5,1140916,1042295,91.4,98621,8.6,2.38,55.3,66.9,19.5,238599.5058084329,534161
20,07.1.02,Zona metropolitana,Tuxtla Gutiérrez,211930.0,19892.1,9.4,17292.0,86.9,2600.1,13.1,848274,742182,87.5,106092,12.5,1.33,42.6,42.9,40.8,60819.480085182986,163479
21,16.1.02,Zona metropolitana,Morelia,177116.2,19258.5,10.9,15175.5,78.8,4083.0,21.2,988704,857537,86.7,131167,13.3,2.0,51.3,56.5,32.1,110775.77717406285,161598
22,13.1.01,Zona metropolitana,Pachuca,74513.1,18642.7,25.0,14408.2,77.3,4234.5,22.7,610753,558026,91.4,52727,8.6,2.89,32.8,38.7,12.5,49987.4243006442,118469
23,27.1.01,Zona metropolitana,Villahermosa,225309.3,17737.5,7.9,11922.1,67.2,5815.4,32.8,833907,576442,69.1,257465,30.9,0.81,47.0,48.4,44.3,113488.39797109099,208793
24,07.1.01,Zona metropolitana,Tapachula,116874.1,17697.6,15.1,6242.5,35.3,11455.2,64.7,400606,262090,65.4,138516,34.6,0.79,22.6,42.0,12.1,33888.62230794032,74907
25,23.1.01,Zona metropolitana,Cancún,180554.9,17371.6,9.6,15823.0,91.1,1548.7,8.9,934189,928428,99.4,5761,0.6,3.33,53.8,58.7,3.7,141215.86751078648,199261
26,30.1.06,Zona metropolitana,Veracruz,106186.2,15701.5,14.8,11835.8,75.4,3865.7,24.6,882011,800379,90.7,81632,9.3,1.27,56.2,67.6,21.1,151267.41565863992,364257
27,13.1.02,Zona metropolitana,Tulancingo,67310.0,15267.4,22.7,7635.3,50.0,7632.2,50.0,268351,201513,75.1,66838,24.9,1.05,17.6,26.4,8.8,12864.68964236265,42453
28,05.1.02,Zona metropolitana,Monclova-Frontera,1149506.7,14961.9,1.3,12488.3,83.5,2473.6,16.5,374247,364881,97.5,9366,2.5,1.02,25.0,29.2,3.8,97797.72263577735,111985
29,11.1.01,Zona metropolitana,Celaya,101675.4,14261.8,14.0,10302.5,72.2,3959.3,27.8,684888,577067,84.3,107821,15.7,1.19,48.0,56.0,27.2,134219.28964969367,244674
30,30.1.07,Zona metropolitana,Xalapa,118751.8,14151.3,11.9,10821.1,76.5,3330.3,23.5,798858,671742,84.1,127116,15.9,0.86,56.5,62.1,38.2,48357.34909098261,138366
31,17.1.01,Zona metropolitana,Cuautla,74280.9,12248.2,16.5,7506.9,61.3,4741.3,38.7,358267,269827,75.3,88440,24.7,0.81,29.3,35.9,18.7,36381.899473309255,88861
32,30.1.04,Zona metropolitana,Orizaba,75907.9,12178.1,16.0,8779.1,72.1,3399.0,27.9,468923,370978,79.1,97945,20.9,0.61,38.5,42.3,28.8,64139.91650685611,73225
33,21.1.02,Zona metropolitana,San Martín Texmelucan,49391.0,11961.0,24.2,10005.8,83.7,1955.2,16.3,314514,287426,91.4,27088,8.6,2.19,26.3,28.7,13.9,35704.86774609153,100163
34,14.1.02,Zona metropolitana,Puerto Vallarta,145223.1,11613.1,8.0,8864.3,76.3,2748.8,23.7,479471,444630,92.7,34841,7.3,2.51,41.3,50.2,12.7,68835.09674310574,148395
35,30.1.03,Zona metropolitana,Minatitlán,261338.1,11098.4,4.2,8169.5,73.6,2928.9,26.4,320559,244476,76.3,76083,23.7,-0.03,28.9,29.9,26.0,46611.95206929408,48907
36,26.1.01,Zona metropolitana,Guaymas,854394.9,10327.4,1.2,7172.4,69.4,3155.1,30.6,208294,175083,84.1,33211,15.9,0.22,20.2,24.4,10.5,63224.93443151403,58382
37,32.1.01,Zona metropolitana,Zacatecas-Guadalupe,182023.5,9678.1,5.3,7424.4,76.7,2253.7,23.3,405285,369112,91.1,36173,8.9,2.03,41.9,49.7,16.1,36091.40226828249,64542
38,30.1.01,Zona metropolitana,Coatzacoalcos,49692.5,9349.6,18.8,8772.5,93.8,577.1,6.2,355738,340360,95.7,15378,4.3,0.25,38.0,38.8,26.6,41787.29481735645,64609
39,16.1.01,Zona metropolitana,La Piedad-Pénjamo,184579.8,8663.2,4.7,4075.4,47.0,4587.8,53.0,261450,149826,57.3,111624,42.7,0.76,30.2,36.8,24.3,17854.269654257398,44935
40,18.1.01,Zona metropolitana,Tepic,213899.6,8627.2,4.0,6671.0,77.3,1956.2,22.7,491153,438004,89.2,53149,10.8,1.38,56.9,65.7,27.2,34330.762320972164,64350
41,06.1.01,Zona metropolitana,Colima-Villa de Álvarez,134834.3,8576.2,6.4,7248.7,84.5,1327.5,15.5,328471,308946,94.1,19525,5.9,1.43,38.3,42.6,14.7,27728.269262009107,78672
42,21.1.03,Zona metropolitana,Tehuacán,64699.1,8533.8,13.2,7572.2,88.7,961.5,11.3,357621,338779,94.7,18842,5.3,2.06,41.9,44.7,19.6,29797.30850064295,82683
43,30.1.05,Zona metropolitana,Poza Rica,106017.3,8424.7,7.9,5869.2,69.7,2555.5,30.3,337199,261251,77.5,75948,22.5,-0.09,40.0,44.5,29.7,51871.78611129262,56544
44,05.1.03,Zona metropolitana,Piedras Negras,138236.2,8305.9,6.0,7639.1,92.0,666.8,8.0,209456,206172,98.4,3284,1.6,1.56,25.2,27.0,4.9,36578.829475292514,72357
45,30.1.02,Zona metropolitana,Córdoba,47896.0,8228.3,17.2,5223.8,63.5,3004.5,36.5,340564,241786,71.0,98778,29.0,0.09,41.4,46.3,32.9,28643.50040849036,64049
46,08.1.02,Zona metropolitana,Delicias,288913.6,7866.6,2.7,5154.3,65.5,2712.3,34.5,212135,179246,84.5,32889,15.5,0.89,27.0,34.8,12.1,19482.11503074564,45424
47,12.1.01,Zona metropolitana,Chilpancingo,342991.2,6939.9,2.0,5985.8,86.3,954.1,13.7,336480,297731,88.5,38749,11.5,1.87,48.5,49.7,40.6,29213.340860958804,51774
