Cve_Metro,grupo,nav_count,nav_percentile,nav_robust_z,top1_count,top1_start,top1_end,n_windows,Nombre,Poblacion,tasa_anual_100k
01.1.01,,3,0.0,-4.721435316336167,16.0,2024-09-14,2024-09-21,108,Aguascalientes,1230213,0.0
02.1.01,,0,0.0,-6.070416835289357,14.0,2024-09-18,2024-09-25,72,Tijuana,2259194,0.0
02.2.02,,0,0.0,-6.070416835289357,10.0,2024-06-10,2024-06-17,21,Ensenada,464596,0.0
02.2.03,,1,0.0,-5.395926075812762,10.0,2024-08-15,2024-08-22,36,Mexicali,1083531,0.0
03.2.01,,0,0.0,,8.0,2024-05-25,2024-06-01,9,La Paz,316752,0.0
03.2.02,,0,0.0,,10.0,2024-06-28,2024-07-05,29,Los Cabos,409232,0.0
04.2.01,,2,0.0,,9.0,2024-05-02,2024-05-09,18,Campeche,302186,0.0
05.1.01,,1,0.0,-5.395926075812762,12.0,2024-07-29,2024-08-05,92,La Laguna,1462429,0.0
05.1.02,,2,0.0,,8.0,2024-05-02,2024-05-09,14,Monclova-Frontera,387723,0.0
05.1.03,,2,0.0,,9.0,2024-02-28,2024-03-06,26,Piedras Negras,225436,0.0
05.1.04,,2,0.0,,11.0,2024-07-07,2024-07-14,89,Saltillo,1135536,0.0
05.3.05,,0,0.0,,8.0,2024-09-03,2024-09-10,3,Sabinas,109927,0.0
06.1.01,,0,0.0,,8.0,2024-05-03,2024-05-10,10,Colima-Villa de Álvarez,345066,0.0
06.3.02,,1,0.0,,8.0,2024-08-25,2024-09-01,8,Tecomán,145555,0.0
07.1.01,,0,0.0,,9.0,2024-07-07,2024-07-14,11,Tapachula,421647,0.0
07.1.02,,2,0.0,,11.0,2024-04-21,2024-04-28,44,Tuxtla Gutiérrez,912652,0.0
08.1.01,,1,0.0,-6.070416835289357,13.0,2024-04-27,2024-05-04,107,Chihuahua,1072666,0.0
08.1.02,,1,0.0,,8.0,2024-04-03,2024-04-10,20,Delicias,219431,0.0
08.2.03,,4,0.0,-4.046944556859572,15.0,2024-05-19,2024-05-26,118,Juárez,1637477,0.0
08.3.04,,0,0.0,,8.0,2024-05-21,2024-05-28,8,Hidalgo del Parral,130934,0.0
09.1.01,,20,0.011363636363636364,-2.1920949682989344,48.0,2024-04-30,2024-05-07,352,Ciudad de México,21901449,0.0
10.2.01,,2,0.0,,10.0,2024-07-05,2024-07-12,59,Durango,726388,0.0
11.1.01,,1,0.0,-10.117361392148927,11.0,2024-04-24,2024-05-01,50,Celaya,722675,0.0
11.1.02,,2,0.0,-10.117361392148927,13.0,2024-04-29,2024-05-06,118,León,2079184,0.0
11.2.03,,2,0.0,,8.0,2024-06-05,2024-06-12,11,Guanajuato,205516,0.0
11.2.04,,2,0.0,,9.0,2024-03-22,2024-03-29,38,Irapuato,614588,0.0
11.3.05,,0,0.0,,8.0,2024-09-13,2024-09-20,5,Moroleón-Uriangato,139068,0.0
