grupo,nav_count,nav_percentile,nav_robust_z,top1_count,top1_start,top1_end,n_windows,Cve_Metro,variable,categoria,n_events
sexo_desc=hombre,2,0.0,-4.721435316336167,15,2024-09-14,2024-09-21,87,01.1.01,sexo_desc,hombre,116
sexo_desc=mujer,1,0.0,,8,2024-04-23,2024-04-30,27,01.1.01,sexo_desc,mujer,34
sexo_desc=hombre,0,0.0,-6.070416835289357,12,2024-09-26,2024-10-03,58,02.1.01,sexo_desc,hombre,75
sexo_desc=hombre,1,0.0,-10.117361392148927,10,2024-08-07,2024-08-14,32,02.2.03,sexo_desc,hombre,42
sexo_desc=hombre,0,0.0,,9,2024-06-03,2024-06-10,24,03.2.02,sexo_desc,hombre,33
sexo_desc=hombre,1,0.0,-5.395926075812762,12,2024-08-15,2024-08-22,71,05.1.01,sexo_desc,hombre,87
sexo_desc=hombre,2,0.0,,10,2024-04-20,2024-04-27,72,05.1.04,sexo_desc,hombre,88
sexo_desc=hombre,2,0.0,,10,2024-04-13,2024-04-20,38,07.1.02,sexo_desc,hombre,47
sexo_desc=hombre,1,0.0,-6.070416835289357,14,2024-08-03,2024-08-10,85,08.1.01,sexo_desc,hombre,113
sexo_desc=mujer,0,0.0,,9,2024-09-30,2024-10-07,24,08.1.01,sexo_desc,mujer,32
sexo_desc=hombre,4,0.0,-3.3724537973829762,13,2024-05-06,2024-05-13,97,08.2.03,sexo_desc,hombre,124
sexo_desc=mujer,0,0.0,,9,2024-09-28,2024-10-05,27,08.2.03,sexo_desc,mujer,35
sexo_desc=hombre,15,0.0,-1.8548495885606369,40,2024-03-17,2024-03-24,343,09.1.01,sexo_desc,hombre,1129
sexo_desc=mujer,5,0.0,-2.3607176581680833,17,2024-01-24,2024-01-31,201,09.1.01,sexo_desc,mujer,314
sexo_desc=hombre,1,0.0,,9,2024-07-01,2024-07-08,44,10.2.01,sexo_desc,hombre,53
sexo_desc=hombre,1,0.0,-10.117361392148927,11,2024-04-24,2024-05-01,38,11.1.01,sexo_desc,hombre,49
sexo_desc=hombre,1,0.0,-5.395926075812762,13,2024-05-15,2024-05-22,100,11.1.02,sexo_desc,hombre,127
sexo_desc=hombre,2,0.0,,9,2024-04-02,2024-04-09,26,11.2.04,sexo_desc,hombre,34
sexo_desc=hombre,1,0.0,,10,2024-08-07,2024-08-14,30,13.1.01,sexo_desc,hombre,41
sexo_desc=hombre,5,0.0,-4.721435316336167,17,2024-02-11,2024-02-18,212,14.1.01,sexo_desc,hombre,331
sexo_desc=mujer,0,0.0,-6.070416835289357,11,2024-08-11,2024-08-18,67,14.1.01,sexo_desc,mujer,84
sexo_desc=hombre,0,0.0,-12.140833670578713,10,2024-11-28,2024-12-05,20,14.1.02,sexo_desc,hombre,30
sexo_desc=hombre,3,0.0,-4.046944556859572,11,2024-03-25,2024-04-01,76,15.1.01,sexo_desc,hombre,94
sexo_desc=mujer,0,0.0,,9,2024-03-25,2024-04-01,30,15.1.01,sexo_desc,mujer,38
sexo_desc=hombre,0,0.0,-6.070416835289357,12,2024-04-24,2024-05-01,43,16.1.02,sexo_desc,hombre,57
sexo_desc=hombre,3,0.0,-4.046944556859572,11,2024-05-17,2024-05-24,35,17.1.02,sexo_desc,hombre,46
sexo_desc=hombre,13,0.75,0.44966050631773014,18,2024-03-12,2024-03-19,196,19.1.01,sexo_desc,hombre,308
sexo_desc=mujer,1,0.0,-5.395926075812762,10,2024-03-10,2024-03-17,55,19.1.01,sexo_desc,mujer,69
sexo_desc=hombre,0,0.0,,9,2024-03-25,2024-04-01,30,20.1.01,sexo_desc,hombre,39
sexo_desc=hombre,1,0.0,-5.395926075812762,13,2024-09-11,2024-09-18,91,21.1.01,sexo_desc,hombre,114
sexo_desc=mujer,0,0.0,,9,2024-07-08,2024-07-15,33,21.1.01,sexo_desc,mujer,42
sexo_desc=hombre,3,0.0,,13,2024-03-11,2024-03-18,86,22.1.01,sexo_desc,hombre,103
sexo_desc=mujer,0,0.0,,9,2024-09-07,2024-09-14,24,22.1.01,sexo_desc,mujer,32
sexo_desc=hombre,3,0.0,,10,2024-10-14,2024-10-21,73,23.1.01,sexo_desc,hombre,86
sexo_desc=hombre,0,0.0,,10,2024-11-27,2024-12-04,27,23.2.03,sexo_desc,hombre,36
sexo_desc=hombre,3,0.0,-4.046944556859572,12,2024-02-28,2024-03-06,80,24.1.01,sexo_desc,hombre,100
sexo_desc=hombre,2,0.0,,11,2024-08-04,2024-08-11,34,25.2.01,sexo_desc,hombre,44
sexo_desc=hombre,2,0.0,,9,2024-09-25,2024-10-02,49,26.2.03,sexo_desc,hombre,57
sexo_desc=hombre,2,0.0,,10,2024-04-22,2024-04-29,43,27.1.01,sexo_desc,hombre,52
sexo_desc=hombre,1,0.0,,9,2024-11-29,2024-12-06,36,28.1.01,sexo_desc,hombre,44
sexo_desc=hombre,0,0.0,,10,2024-09-15,2024-09-22,21,28.1.02,sexo_desc,hombre,30
sexo_desc=hombre,1,0.0,,9,2024-10-03,2024-10-10,23,29.1.01,sexo_desc,hombre,31
sexo_desc=hombre,3,0.0,-4.046944556859572,10,2024-07-23,2024-07-30,30,30.1.07,sexo_desc,hombre,41
sexo_desc=hombre,2,0.0,-5.395926075812762,13,2024-02-06,2024-02-13,122,31.1.01,sexo_desc,hombre,158
edad_grupo=15-24,1,0.0,-5.395926075812762,11,2024-06-23,2024-06-30,28,01.1.01,edad_grupo,15-24,39
edad_grupo=25-34,0,0.0,,8,2024-04-07,2024-04-14,36,01.1.01,edad_grupo,25-34,43
edad_grupo=35-44,2,0.0,,9,2024-12-21,2024-12-28,22,01.1.01,edad_grupo,35-44,30
edad_grupo=25-34,0,0.0,,10,2024-08-15,2024-08-22,21,05.1.01,edad_grupo,25-34,30
edad_grupo=25-34,0,0.0,,9,2024-08-01,2024-08-08,27,05.1.04,edad_grupo,25-34,36
edad_grupo=25-34,1,0.0,,11,2024-08-03,2024-08-10,27,08.1.01,edad_grupo,25-34,37
edad_grupo=15-24,1,0.0,,9,2024-06-25,2024-07-02,37,08.2.03,edad_grupo,15-24,46
edad_grupo=25-34,1,0.0,,8,2024-02-22,2024-02-29,39,08.2.03,edad_grupo,25-34,46
edad_grupo=0-14,0,0.0,,10,2024-07-06,2024-07-13,34,09.1.01,edad_grupo,0-14,44
edad_grupo=15-24,6,0.0,-2.3607176581680833,22,2024-05-10,2024-05-17,227,09.1.01,edad_grupo,15-24,393
edad_grupo=25-34,9,0.05217391304347826,-1.6862268986914881,24,2024-03-18,2024-03-25,230,09.1.01,edad_grupo,25-34,419
edad_grupo=35-44,2,0.0,-3.0352084176446783,22,2024-09-24,2024-10-01,185,09.1.01,edad_grupo,35-44,283
edad_grupo=45-54,2,0.0,-5.395926075812762,17,2024-06-01,2024-06-08,125,09.1.01,edad_grupo,45-54,168
edad_grupo=55-64,1,0.0,-5.395926075812762,11,2024-01-29,2024-02-05,67,09.1.01,edad_grupo,55-64,84
edad_grupo=65-74,0,0.0,,10,2024-11-10,2024-11-17,22,09.1.01,edad_grupo,65-74,31
edad_grupo=15-24,2,0.0,,9,2024-03-13,2024-03-20,32,11.1.02,edad_grupo,15-24,40
edad_grupo=25-34,0,0.0,,9,2024-04-20,2024-04-27,29,11.1.02,edad_grupo,25-34,38
edad_grupo=35-44,0,0.0,-11.46634291110212,9,2024-03-16,2024-03-23,22,11.1.02,edad_grupo,35-44,31
edad_grupo=15-24,0,0.0,-6.070416835289357,12,2024-05-12,2024-05-19,67,14.1.01,edad_grupo,15-24,89
edad_grupo=25-34,2,0.0,-4.721435316336167,14,2024-06-22,2024-06-29,92,14.1.01,edad_grupo,25-34,111
edad_grupo=35-44,1,0.0,-5.395926075812762,11,2024-05-22,2024-05-29,77,14.1.01,edad_grupo,35-44,97
edad_grupo=45-54,2,0.0,-4.721435316336167,12,2024-10-28,2024-11-04,49,14.1.01,edad_grupo,45-54,63
edad_grupo=55-64,0,0.0,-6.070416835289357,10,2024-07-28,2024-08-04,22,14.1.01,edad_grupo,55-64,31
edad_grupo=15-24,2,0.0,,10,2024-09-08,2024-09-15,43,15.1.01,edad_grupo,15-24,53
edad_grupo=25-34,0,0.0,,9,2024-03-15,2024-03-22,30,15.1.01,edad_grupo,25-34,38
edad_grupo=15-24,0,0.0,,11,2024-12-04,2024-12-11,54,19.1.01,edad_grupo,15-24,71
edad_grupo=25-34,6,0.0,-2.023472278429786,12,2024-08-21,2024-08-28,74,19.1.01,edad_grupo,25-34,95
edad_grupo=35-44,2,0.0,-4.721435316336167,11,2024-03-15,2024-03-22,68,19.1.01,edad_grupo,35-44,87
edad_grupo=45-54,3,0.0,-4.046944556859572,11,2024-09-02,2024-09-09,57,19.1.01,edad_grupo,45-54,71
edad_grupo=55-64,3,0.0,,10,2024-05-19,2024-05-26,27,19.1.01,edad_grupo,55-64,36
edad_grupo=15-24,0,0.0,,11,2024-09-11,2024-09-18,30,21.1.01,edad_grupo,15-24,40
edad_grupo=25-34,1,0.0,,9,2024-08-20,2024-08-27,35,21.1.01,edad_grupo,25-34,43
edad_grupo=15-24,0,0.0,,8,2024-05-09,2024-05-16,25,22.1.01,edad_grupo,15-24,32
edad_grupo=25-34,2,0.0,,10,2024-04-21,2024-04-28,30,22.1.01,edad_grupo,25-34,41
edad_grupo=25-34,3,0.0,,8,2024-03-10,2024-03-17,35,23.1.01,edad_grupo,25-34,42
edad_grupo=25-34,1,0.0,,10,2024-03-11,2024-03-18,26,24.1.01,edad_grupo,25-34,37
edad_grupo=35-44,0,0.0,,10,2024-12-15,2024-12-22,21,24.1.01,edad_grupo,35-44,30
edad_grupo=15-24,0,0.0,,10,2024-05-30,2024-06-06,24,31.1.01,edad_grupo,15-24,33
edad_grupo=25-34,3,0.0,,10,2024-05-12,2024-05-19,43,31.1.01,edad_grupo,25-34,54
edad_grupo=35-44,1,0.0,,8,2024-02-25,2024-03-03,39,31.1.01,edad_grupo,35-44,46
escolarida_desc=Primaria completa,0,0.0,-6.070416835289357,11,2024-10-11,2024-10-18,19,01.1.01,escolarida_desc,Primaria completa,30
escolarida_desc=Secundaria completa,1,0.0,,9,2024-03-04,2024-03-11,39,01.1.01,escolarida_desc,Secundaria completa,48
