clave_metropoli,nombre,poblacion2020,poblacion2024
09.1.01,Ciudad de México,21436911,21901449
19.1.01,Monterrey,5322117,5846229
14.1.01,Guadalajara,5110617,5427673
15.1.01,Toluca,2353924,2454781
21.1.01,Puebla-Tlaxcala,2776893,3003648
31.1.01,Mérida,1324771,1447429
29.1.01,Tlaxcala-Apizaco,674510,716765
02.1.01,Tijuana,2049413,2259194
11.1.02,León,1935928,2079184
05.1.01,La Laguna,1375248,1462429
22.1.01,Querétaro,1530820,1730862
08.1.01,Chihuahua,988065,1072666
05.1.04,Saltillo,1031779,1135536
17.1.02,Cuernavaca,1121122,1165374
28.1.02,Tampico,927379,956622
24.1.01,San Luis Potosí,1243980,1333019
28.1.01,Reynosa,837251,909100
20.1.01,Oaxaca,744912,792660
01.1.01,Aguascalientes,1140916,1230213
07.1.02,Tuxtla Gutiérrez,848274,912652
16.1.02,Morelia,988704,1061095
13.1.01,Pachuca,610753,681072
27.1.01,Villahermosa,833907,858154
07.1.01,Tapachula,400606,421647
23.1.01,Cancún,934189,1032070
30.1.06,Veracruz,882011,909740
13.1.02,Tulancingo,268351,280259
05.1.02,Monclova-Frontera,374247,387723
11.1.01,Celaya,684888,722675
30.1.07,Xalapa,798858,823394
17.1.01,Cuautla,358267,373470
30.1.04,Orizaba,468923,475674
21.1.02,San Martín Texmelucan,314514,332127
14.1.02,Puerto Vallarta,479471,523475
30.1.03,Minatitlán,320559,317288
26.1.01,Guaymas,208294,212788
32.1.01,Zacatecas-Guadalupe,405285,436726
30.1.01,Coatzacoalcos,355738,356443
16.1.01,La Piedad-Pénjamo,261450,272029
18.1.01,Tepic,491153,521272
06.1.01,Colima-Villa de Álvarez,328471,345066
21.1.03,Tehuacán,357621,371795
30.1.05,Poza Rica,337199,335563
05.1.03,Piedras Negras,209456,225436
30.1.02,Córdoba,340564,345226
08.1.02,Delicias,212135,219431
12.1.01,Chilpancingo,336480,350473
16.1.03,Zamora,273641,288073
08.2.03,Juárez,1512450,1637477
02.2.03,Mexicali,1049792,1083531
26.2.03,Hermosillo,936263,1013689
25.2.01,Culiacán,1003530,1076523
12.2.02,Acapulco,779566,788649
10.2.01,Durango,688697,726388
28.2.04,Matamoros,541979,576355
02.2.02,Ensenada,443807,464596
03.2.02,Los Cabos,351111,409232
03.2.01,La Paz,292241,316752
28.2.05,Nuevo Laredo,425058,453961
11.2.04,Irapuato,592953,614588
25.2.02,Los Mochis,459310,486569
26.2.02,Ciudad Obregón,436484,451214
25.2.03,Mazatlán,501441,520033
04.2.01,Campeche,294077,302186
28.2.03,Ciudad Victoria,349688,364633
23.2.02,Chetumal,233648,253275
23.2.03,Playa del Carmen,333800,396286
16.2.04,Uruapan,356786,384146
26.2.04,Nogales,264782,287440
11.2.03,Guanajuato,194500,205516
16.3.05,Lázaro Cárdenas,222352,240114
24.3.03,Rioverde,146049,152107
11.3.06,Silao,269322,287969
15.3.03,Tianguistenco,183281,190810
26.3.05,Caborca,98244,104307
05.3.05,Sabinas,107071,109927
24.3.02,Matehuala,107497,112844
11.3.05,Moroleón-Uriangato,138665,139068
14.3.03,Ocotlán,184603,192173
29.3.02,Huamantla,106268,114456
21.3.05,Teziutlán,138806,144991
31.3.02,Valladolid,99057,103100
20.3.03,Salina Cruz,87745,84702
08.3.04,Hidalgo del Parral,121666,130934
16.3.06,Sahuayo,114635,122634
06.3.02,Tecomán,143931,145555
21.3.04,Huauchinango,113774,114809
20.3.02,Juchitán,131534,140087
15.3.02,Ozumba,83185,86253
13.3.03,Atitalaquia,60151,61708
20.3.04,Tehuantepec,87435,92165
30.3.08,Acayucan,114416,113883
